Current State,Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,2005,0,456,-853,1274,-1350,427,-199,17,191,5082,-4335,-711,-23,1859,1041,32,-651,951,1908,24,-155,117,1561,-365,5263,860,-299,367,555,434,584,-53,1736,-2346,80,-370,1470,-1142,-197,-88,172,0,491,490,200,163,422,1140,85,-1972,168
Alaska,2005,-456,0,-953,-606,-1376,-601,-310,-337,0,-1992,-1754,159,-915,-2301,-5,-105,700,-142,-1438,-247,-242,-494,-1305,-692,1143,-107,-301,57,-333,-339,-791,-222,-192,-275,63,-177,-33,-676,-718,-87,450,70,-428,-1821,741,-15,-1293,-1445,-1164,629,76
Arizona,2005,853,953,0,579,66140,4494,1760,24,692,1222,-2765,-193,681,6473,1331,-459,-184,-157,842,36,1241,1564,6288,2282,794,-1851,587,1526,4044,415,2772,3771,3362,230,605,2330,-681,-203,3036,156,195,229,4015,5272,864,223,1945,-1790,128,5601,229
Arkansas,2005,-1274,606,-579,0,3686,781,66,-344,0,1923,-96,315,171,1069,1191,-418,-135,-977,3633,-238,-499,1327,240,224,2363,1483,-86,555,97,0,446,-432,199,-78,74,155,1925,-634,-40,0,1571,337,-107,10284,216,0,968,381,3,550,-137
California,2005,1350,1376,-66140,-3686,0,-11029,3269,-126,1124,-3900,-10885,-4555,-10540,-2973,-1570,-196,-1901,-1080,1354,-2016,-1654,3521,2442,-2626,-2064,-3451,-3440,-247,-27836,-257,4007,-6479,7511,1473,14,-3080,-5367,-39185,-2165,-142,-1243,323,-8464,-38747,-6458,366,-285,-17993,-40,-2785,-1928
Colorado,2005,-427,601,-4494,-781,11029,0,-322,-88,286,461,-416,-1474,-1042,-512,1284,-727,481,532,894,-214,742,1431,-1126,289,214,130,476,2494,1677,1481,-404,-741,3357,2301,504,-596,-806,-2427,2911,51,-2,471,890,-853,257,-295,-338,-2814,352,699,1567
Connecticut,2005,199,310,-1760,-66,-3269,322,0,173,1241,-7344,-2928,149,-251,875,-116,-92,-81,-74,-137,-1620,840,-782,268,-853,55,-214,-345,-310,-244,377,-1209,-462,17080,-2557,-382,-43,-193,-174,-548,2399,-1011,0,-324,-598,-343,80,-1924,-318,140,-472,0
Delaware,2005,-17,337,-24,344,126,88,-173,0,-357,543,-50,0,222,331,-43,0,1,58,23,0,3283,193,517,89,-215,105,-40,-10,-87,0,1423,0,4169,380,0,-572,163,198,1426,487,-10,0,77,-633,140,0,617,-329,-9,0,0
District of Columbia ,2005,-191,0,-692,0,-1124,-286,-1241,357,0,-817,-101,0,-29,1226,-196,0,0,-204,96,-184,-11111,1937,-260,210,-142,-31,0,186,-752,66,153,212,848,1590,0,-237,-4,-888,-652,-5,169,-403,232,-787,513,-105,-558,11,389,-67,0
Florida,2005,-5082,1992,-1222,-1923,3900,-461,7344,-543,817,0,-11569,795,-785,3307,8670,575,-1627,-1846,4078,1996,11229,17532,12242,8191,1625,2054,-110,-812,-1006,5961,19994,-2541,73022,275,-433,22764,-2736,-1194,13635,5866,-2497,-200,-6823,-6043,-1853,-41,8154,-1131,80,5075,318
